Do it again!	Recommencez !
Stop yelling.	Arrête de hurler.
I saved you.	Je t'ai sauvée.
I finished it.	Je l'ai terminé.
How did I look?	De quoi ai-je eu l'air ?
I'm sure.	Je suis certain.
He's Swiss.	Il est Helvète.
Drop your guns.	Jetez votre arme !
Taste this.	Essayez ceci !
Tom is voting.	Tom est en train de voter.
Now drink up.	Maintenant, buvez d'un coup !
Goodbye!	Ciao.
I was away.	Je n'étais pas là.
I did see it.	Je l'ai vu, en effet.
Burn it.	Brûle-le.
You're my age.	Vous avez le même âge que moi.
I live alone.	J'habite seul.
You seem happy.	Vous semblez heureuses.
Go ahead!	Vas-y !
I fight badly.	Je me bats mal.
Get my rifle.	Attrape mon fusil !
Get lost!	Décampe !
It's personal.	C'est personnel.
They may go.	Ils peuvent partir.
He tricked me.	Il m'a flouée.
Blindfold Tom.	Bandez les yeux de Tom.
Tom's drunk.	Tom est saoul.
Let's not go.	Ne partons pas !
Forget me.	Oubliez-moi.
You're crafty.	Tu es rusé.
Stay seated.	Reste assis.
I can't sing.	Je suis incapable de chanter.
Can I go now?	Puis-je partir maintenant ?
I'm starving.	J'ai la fringale.
I despise you.	Je vous méprise.
He left early.	Il est parti tôt.
Answer Tom.	Répondez à Tom.
This dog bites.	Ce chien mord.
Please come.	Venez, je vous prie.
I need to know.	Moi j'ai besoin de savoir.
We were wasted.	Nous étions cuits.
I must obey.	Je dois obéir.
I usually walk.	Habituellement je me déplace à pied.
I'm a surfer.	Je suis surfeur.
We saw it.	Nous l'avons vu.
I can cook.	Je sais cuisiner.
They're scared.	Ils ont la trouille.
Did Tom try?	Est-ce que Tom a essayé ?
I have a visa.	J'ai un visa.
Get up.	Debout.
Get away!	Dégage !
Wash your face.	Lavez-vous le visage.
Stop smoking.	Arrête de fumer.
It wasn't me.	Ce n'était pas moi.
I'm shopping.	Je fais les courses.
Go home now.	Va à la maison, maintenant.
I hired Tom.	J'ai engagé Tom.
He also saw it.	Il l’a aussi vu.
Here he comes.	Le voici.
Don't be upset.	Ne soyez pas contrariée !
You're nervous.	Tu es nerveuse.
Ice is solid.	La glace est solide.
I felt excited.	Je me suis senti énervé.
We're finished.	Nous en avons terminé.
I'll try.	J'essaierai.
You're stuck.	Vous êtes plantées.
I messed up.	J'ai dégueulassé.
I am a Muslim.	Je suis musulmane.
Let me check.	Laisse-moi contrôler.
He hated lying.	Il détestait mentir.
Learn Italian.	Apprends l'italien.
Be still.	Soyez calmes !
Wait a while.	Attends un moment !
I feel faint.	Je sens que je vais m'évanouir.
I wish I could.	Si seulement je pouvais.
We're lazy.	Nous sommes fainéantes.
Tom remembers.	Tom se rappelle.
Can you drive?	Sais-tu conduire ?
Tom is teasing.	Tom est taquin.
We wonder why.	On se demande pourquoi.
My dog ate it.	Mon chien l'a bouffé.
Forget it.	Oublie-le !
I took her arm.	Je lui pris le bras.
It's a fad.	C'est une tocade.
Who has it?	Qui l'a ?
I sat down.	Je m'assis.
What for?	Pour quoi faire ?
I feel faint.	Je me sens pris de malaise.
It was fair.	C'était juste.
We're unlucky.	Nous sommes malchanceuses.
I can't see it.	Je ne peux pas la voir.
I'll kill it.	Je le tuerai.
Is Tom sure?	Est-ce que Tom est sûr ?
Tom whistled.	Tom siffla.
Tie your shoe.	Attache ton lacet.
I was dancing.	J'étais en train de danser.
He was in pain.	Il souffrait.
Keep digging.	Continuez de creuser.
I hate my body.	Je déteste mon corps.
Tom was safe.	Tom était en sécurité.
I hurried.	Je me suis dépêché.
Don't be shy.	Ne sois pas timide.
I am not happy.	Je ne suis pas contente.
I'm 99% sure.	J'en suis sûre à 99%.
That's stupid.	C'est minable.
How delicious!	C'est délicieux !
I don't care.	Je m'en fous.
Can we prove it?	Pouvons-nous le prouver ?
I like women.	J'aime les femmes.
I miss college.	J'ai la nostalgie de la fac.
It's all over.	C'est complètement fini.
Don't touch me.	Ne me touchez pas !
Tom was smart.	Tom était malin.
They'll attack.	Ils vont attaquer.
We all work.	Nous travaillons tous.
Tom is awesome.	Tom est génial.
It was pizza.	C'était de la pizza.
We are men.	Nous sommes des hommes.
Drop the gun.	Lâche l'arme !
Am I qualified?	Suis-je qualifié ?
That's icky.	C'est gnangnan.
What's that?	Qu'est-ce là ?
You tried.	Tu as essayé.
He's in prison.	Il se trouve en prison.
Should I go?	Devrais-je y aller ?
You're bossy.	Tu joues au chef.
Look out!	Faites attention !
I saw you.	Je t'ai vu.
What a jerk!	Quel naze !
Are those yours?	Est-ce les tiens ?
Tom's here.	Tom est ici.
I'm thirty.	J'ai trente ans.
They have wine.	Ils disposent de vin.
I'm just bored.	Je m'embête simplement.
She is talking.	Elle a la parole.
Shall we dance?	On danse ?
Are there kids?	Y a-t-il des enfants ?
We can win.	Nous pouvons l'emporter.
Bring backup.	Envoyez des renforts.
You are lying.	Vous mentez.
You're naive.	Vous êtes naïf.
I was excited.	J'étais excité.
Well done!	C'est extra !
I'm not joking.	Je ne plaisante pas.
Stop that.	Arrête ça !
Lie still.	Reste allongée, immobile !
Come back soon.	Reviens vite.
Do you know me?	Me connaissez-vous ?
Relax.	Calmez-vous !
He could die.	Il se pourrait qu'il meure.
Did I wake you?	Vous ai-je réveillées ?
He is ill.	Il est malade.
You're great.	T'assures.
I hope not.	Je n'espère pas.
Will Tom die?	Tom va-t-il mourir ?
I'm contented.	Me voilà satisfaite.
You're vulgar.	Vous êtes grossière.
I let them go.	Je les ai laissées y aller.
What's inside?	Qu'est-ce qu'il y a à l'intérieur ?
I betrayed you.	Je t'ai trahi.
Tom loves Mary.	Tom adore Mary.
I have no clue.	Je n'en ai pas la moindre idée.
That'll work.	Cela fonctionnera.
Get out!	Dégage !
Tom screamed.	Tom hurla.
They're early.	Elles sont en avance.
Is that a wolf?	Est-ce que c'est un loup ?
Leave me alone!	Laisse-moi seule !
You look fine.	Tu as l'air en bonne santé.
Get out.	Dégage !
She can skate.	Elle sait patiner.
Can they see us?	Peuvent-ils nous voir ?
Say it again.	Dis-le encore une fois.
It poured.	Il pleuvait à verse.
Grab my hand.	Saisissez-moi la main !
Can Tom cook?	Tom sait-il cuisiner ?
Go ahead!	Vas-y.
That took guts.	Il fallait avoir les tripes.
I need more.	Il m'en faut plus.
I felt cheated.	Je me suis senti cocufié.
We're a couple.	Nous sommes en couple.
They're boring.	Elles sont ennuyeuses.
Aim higher.	Vise plus haut.
She shot him.	Elle le descendit.
Get your gear.	Va chercher ta tenue !
Tom trusts me.	Tom me fait confiance.
He looks pale.	Il a l'air pâle.
He was naive.	Il était naïf.
Don't lie.	Ne mens pas.
That's my car.	C'est ma voiture.
I'm dead tired.	Je suis mort de fatigue.
I got upset.	Je me suis fâché.
I was burned.	J'ai été brûlée.
Stay still.	N'avancez pas.
I see Tom.	Je vois Tom.
Can you pitch?	Sais-tu lancer ?
It was broken.	C'était cassé.
It's a parody.	C'est une parodie.
Tom was clever.	Tom était intelligent.
He can read.	Il peut lire.
I turned right.	Je tournai à droite.
It's very dry.	Il fait très sec.
I'm full.	Je suis repu !
I feel blessed.	Je me sens bénite.
Is it for me?	Est-ce que c'est pour moi ?
My name is Tom.	Je me nomme Tom.
I'm chicken.	J'ai les chocottes.
It's now 2:30.	Maintenant, il est 2:30.
He came by bus.	Il vint en bus.
It's a shame.	C'est dommage.
My hip hurts.	Ma hanche me fait mal.
He kicked it.	Il y donna un coup de pied.
Tom is a monk.	Tom est moine.
I am right.	J'ai raison.
Give me a sec.	Donne-moi une seconde.
I am confused.	Je suis confuse.
He's after me.	Il est derrière moi.
I saw the data.	J'ai vu les données.
Here comes Tom.	Voilà Tom.
I went skiing.	J'allais skier.
I'm useless.	Je suis inutile.
Now we wait.	Maintenant nous attendons.
This was easy.	C'était facile.
I need to go.	Je dois y aller.
You're funny.	Vous êtes marrant.
Is it you?	Est-ce vous ?
Did that work?	Est-ce que ça a marché ?
They know Tom.	Elles connaissent Tom.
I admired Tom.	J'admirais Tom.
Be discreet.	Soyez discrètes !
She grew roses.	Elle cultivait des roses.
I'm happy here.	Je suis heureux, ici.
It's yours.	C'est le vôtre.
Send Tom up.	Faites monter Tom.
I suppose so.	Je le suppose.
It was flat.	Elle était plate.
Get moving.	Déplacez-vous.
I'm very upset.	Je suis fort contrariée.
I miss college.	J'ai la nostalgie du lycée.
You're all mad.	Vous êtes tous fous.
I'm sad.	Je suis triste.
Get down.	Descends.
He let me go.	Il m'a laissé m'en aller.
Tom is callous.	Tom est sans cœur.
Did you vote?	Avez-vous voté ?
I'm ugly.	Je suis laide.
Don't be naive.	Ne soyez pas naïve !
I must go.	Il faut que j'y aille.
I'm rather shy.	Je suis plutôt timide.
I need glue.	J'ai besoin de colle.
They let me go.	Elles me laissèrent m'en aller.
Attack!	Attaque !
That's evident.	C'est évident.
Happy New Year!	Heureuse année !
Be a good girl.	Soyez une chic fille !
Give me half.	Donne-moi la moitié.
I'm innocent.	Je suis ingénu.
She liked that.	Elle l'apprécia.
Isn't it weird?	Bizarre, n'est-ce pas ?
Dress warmly.	Couvrez-vous !
Grab this.	Attrapez ça !
She grew roses.	Elle fit pousser des roses.
Look out!	Faites attention.
I felt safe.	Je me suis sentie en sécurité.
You're good.	Vous êtes bons.
Can you swim?	Savez-vous nager ?
Thanks a heap.	Des tonnes de mercis !
We have a plan.	Nous avons un plan.
Come over!	Venez !
Good afternoon.	Bonjour !
I always lose.	Je perds toujours.
Write me.	Écrivez-moi !
I'm obedient.	Je suis obéissant.
I'm going home.	Je rentre chez moi.
What's new?	Quoi de nouveau ?
I bike to work.	Je me rends au travail en vélo.
Leave it.	Laissez tomber !
Sing us a song.	Chantez-nous une chanson.
Can I afford it?	En ai-je les moyens ?
I'm jealous.	Je suis jalouse.
Are they new?	Sont-ils neufs ?
You lost.	Vous avez perdu.
Tom was poor.	Tom était pauvre.
Hold it!	Attendez.
I was all ears.	J'étais toute ouïe.
Get lost.	Fichez le camp.
Tom's fat.	Tom est gros.
We all cheered.	Nous acclamèrent tous.
I had no idea.	Je n'en avais aucune idée.
I surrendered.	Je me suis rendu.
We never lose.	Nous ne perdons jamais.
Forget it!	Oublie !
Send Tom to me.	Envoie-moi Tom !
Get some rest.	Prenez quelque repos !
That is mine.	C'est le mien.
Well done.	Bravo !
She hated him.	Elle le haïssait.
Come in.	Entrez !
You're a child.	Tu es un enfant.
I'm all yours.	Je suis toute à vous.
This is awful.	C'est horrible.
Don't push it.	Poussez pas le bouchon !
Be creative.	Sois créatif !
Tie your shoes.	Attache tes chaussures.
Bring a hat.	Apporte un chapeau.
We broke up.	Nous éclatâmes de rire.
They drove off.	Elles partaient.
Watch TV here.	Regardez la télé ici.
I'll come.	Je viendrai.
I'm used to it.	J'y suis habituée.
Hello everyone!	Bonjour tout le monde !
We lost.	Nous fûmes défaits.
Don't be upset.	Ne sois pas fâché !
Be careful, Tom!	Fais attention, Tom !
I never bet.	Je n'ai jamais parié.
We're watching.	Nous regardons.
Check that.	Vérifiez cela.
Stay seated.	Restez assise.
Make me happy.	Rends-moi heureux.
I'm yours.	Je suis à toi.
I hurried.	Je me suis précipitée.
Tom hated that.	Tom détestait ça.
Are you bored?	T'ennuies-tu ?
That's a wolf.	C'est un loup.
Anybody home?	Y a-t-il quelqu'un ?
I love games.	J'adore les jeux.
What nonsense!	Quelle ineptie !
Thanks!	Merci !
Who needs that?	Qui a besoin de ça?
Really?	Vrai ?
It's wonderful!	C'est magnifique !
Shake a leg.	Allez, dépêchez-vous.
I need it ASAP.	J'en ai besoin aussi vite que possible.
Go have fun.	Amuse-toi bien.
Ain't that cute?	N'est-ce pas mignon ?
He's a bigot.	C'est un fanatique.
Go outside.	Allez à l'extérieur.
Sit beside me.	Assieds-toi à côté de moi !
That's wise.	C'est sage.
Ask Tom again.	Redemandez à Tom.
We go tomorrow.	Nous partons demain.
Tom loves this.	Tom adore ceci.
We saw you.	Nous vous avons vues.
You go first.	Vas-y d'abord.
Are they dead?	Sont-ils morts ?
Begin.	Commence.
Tom gasped.	Tom a haleté.
We must talk.	Il nous faut discuter.
Who is he?	Qui est-ce ?
He's asleep.	Il est endormi.
Are you famous?	Es-tu célèbre ?
Is Tom coming?	Tom vient-il ?
I had some fun.	Je me suis marré.
Tom looks mad.	Tom a l'air fou.
Let it be.	Laisse faire.
I'm behind Tom.	Je suis derrière Tom.
Can I touch it?	Est-ce que j'ai le droit d'y toucher ?
Do you like it?	Ça vous plaît ?
This is a lion.	C'est un lion.
This is yours.	Il s'agit du tien.
He is awesome.	Il est génial.
We might die.	Il se peut que nous mourions.
Stop shooting.	Arrêtez de tirer.
It's time.	Il est temps !
Cut it out, Tom.	Ça suffit, Tom.
May I go home?	Puis-je me rendre à la maison ?
Am I mistaken?	Est-ce que je me trompe ?
Look at me.	Regarde-moi.
Show Tom in.	Faites entrer Tom.
Get out!	Disparais !
Cancel that.	Annulez ça.
Get away!	Dégage.
He lost face.	Il a perdu la face.
I'm not a fan.	Je ne fais pas partie de ses admirateurs.
Go away!	Décampe !
Are they new?	Sont-elles neuves ?
I missed a lot.	J'ai beaucoup raté.
I said maybe.	J'ai dit peut-être.
He's a jerk.	C'est un pauvre type.
I made these.	J'ai confectionné ceux-ci.
Sit tight.	Restez assis.
I am ready.	Je suis prêt.
Fear nothing.	N'ayez crainte.
We are all set.	Nous sommes tous prêts.
We all lie.	Nous mentons tous.
I lost face.	J'ai perdu la face.
He made it.	Il a réussi.
Taste it.	Goûte-le.
Take it easy!	Tranquillisez-vous.
We lost.	Nous avons été battus.
I'll watch TV.	Je vais regarder la télé.
Run for it!	Taille-toi !
Black suits you.	Le noir te va bien.
We're late.	Nous sommes en retard.
Get the camera.	Va chercher la caméra.
Ignore him.	Ignorez-le.
Is Tom in pain?	Est-ce que Tom a mal ?
He helps us.	Il nous aide.
Will it fit?	Cela ira-t-il ?
I woke you up.	Je t'ai réveillée.
God knows why.	Dieu sait pourquoi.
I finally won.	J'ai fini par gagner.
Are they new?	Sont-elles nouvelles ?
She's demented.	Elle est folle.
I felt happy.	Je me suis senti heureux.
Get serious.	Sois sérieux.
Do you have one?	En avez-vous un ?
Wonderful!	Sensass !
I felt safe.	Je me suis senti en sécurité.
Keep fighting.	Continue à lutter.
It's all clear.	Tout est clair.
Give me time.	Laissez-moi un peu de temps.
I saw them.	Je les ai vues.
Come to us.	Venez à nous.
Let's not talk.	Ne parlons pas.
He stood up.	Il se dressa.
Recess ended.	La pause est terminée.
Take it all.	Prends tout !
Are you injured?	Êtes-vous blessé ?
You're insane.	Tu es dingue.
Follow me.	Suis-moi.
Tom looks fine.	Tom a l'air en forme.
I apologize.	Je vous prie de m'excuser.
Tom knows that.	Tom le sait.
We could walk.	Nous pourrions marcher.
He's my hero.	C'est mon héros.
I'm a twin.	J'ai un jumeau.
We buy CDs.	Nous achetons des CD.
He dozed off.	Il s'est endormi.
Who helped you?	Qui vous assistait ?
I was last.	J'ai été dernier.
I was there.	Je m'y trouvais.
A car cut in.	Une voiture a coupé la route.
We are here.	Nous y sommes.
Tom waved.	Tom a fait signe de la main.
Tom is funny.	Tom est marrant.
Tell Tom.	Informez-en Tom.
I was pleased.	J'ai été contente.
Is it hot?	Est-ce chaud ?
They're safe.	Ils vont bien.
Are you hurt?	Vous êtes-vous blessée ?
It was a bomb.	C'était une bombe.
Who yelled?	Qui a hurlé ?
Cats like boxes.	Les chats aiment les boîtes.
Tom was third.	Tom était troisième.
Tom loves art.	Tom adore l'art.
I was cleaning.	J'étais en train de nettoyer.
I made dinner.	J'ai préparé le déjeuner.
I need a cab.	J'ai besoin d'un taxi.
Are you alone?	Es-tu seule ?
Leave tomorrow.	Pars demain.
Take it.	Prenez-le !
I rewrote it.	Je le réécrivis.
Return fire.	Ripostez.
She is talking.	Elle parle.
Who talked?	Qui a parlé ?
I don't gamble.	Je ne joue pas.
Are you kidding?	Tu plaisantes ?
I'm wet.	Je suis mouillée.
Nobody saw me.	Personne ne me vit.
Did Tom fall?	Tom est-il tombé ?
Don't be mean.	Ne soyez pas mesquine !
Stop whistling.	Cesse de siffler.
Watch us.	Regarde-nous !
Cut that out!	Arrêtez !
Learn French.	Apprends le français.
She grew roses.	Elle a fait pousser des roses.
Tell Tom no.	Dis non à Tom.
Go ahead.	Continue !
Examine them.	Examine-les.
I can't sleep.	Je ne peux pas dormir.
I resent that.	Ça me déplaît.
This is love.	C'est de l'amour.
Sit down, Tom.	Assieds-toi, Tom.
This is crazy.	C'est dingue.
He seems kind.	Il a l'air gentil.
I felt cheated.	Je me suis sentie cocufiée.
Bring a shovel.	Apporte une pelle !
Keep Tom there.	Garde Tom là-bas.
Turn on the TV.	Allumez la télé.
Tom is lost.	Tom est perdu.
It's serious.	C'est sérieux.
I'll change.	Je changerai.
We broke up.	Nous avons éclaté de rire.
I trust him.	J'ai confiance en lui.
We shook hands.	Nous nous sommes serrés la main.
Unbelievable!	Inimaginable !
It gets better.	Ça s'améliore.
It's too loud.	C'est trop fort.
It's hers.	C'est le sien.
Show Tom in.	Fais entrer Tom.
Is Tom around?	Tom est-il dans les parages ?
Look back.	Regardez derrière vous.
You'd love it.	Tu adorerais ça.
He has to come.	Il doit venir.
They crashed.	Ils se sont écrasés.
I'm a father.	Je suis papa.
Try to do that.	Essaie de faire cela.
This is a joke.	Il s'agit d'une blague.
We waited.	Nous avons attendu.
See you around.	Au plaisir de vous revoir.
Tom lost hope.	Tom a perdu espoir.
They won.	Elles ont gagné.
Tom needs Mary.	Tom a besoin de Marie.
Tom's unhappy.	Tom est malheureux.
Is that right?	En est-il ainsi ?
You're polite.	Tu es poli.
Move over.	Poussez-vous.
Stick to it.	Continuez à le faire.
I love secrets.	J'adore les secrets.
What a jerk!	Quelle ordure !
Who was here?	Qui était ici ?
I stole a gun.	J'ai volé une arme.
We saw you.	Nous t'avons vue.
You're useless.	Vous êtes inutiles.
It's dangerous!	C'est dangereux !
I'm not joking.	Sérieusement !
Ain't he cute?	N'est-il pas mignon ?
Where is he?	Où est-il ?
I recovered.	Je m'en suis remis.
He keeps a cat.	Il a un chat.
Will it fit?	Cela passera-t-il ?
I can buy one.	Je peux en acquérir une.
Tom hates me.	Tom me déteste.
Come on!	Secouez-vous !
Are you crazy?	Tu es folle ?
We want peace.	Nous voulons la paix.
Don't leave us.	Ne nous quittez pas !
We aren't free.	Nous ne sommes pas libres.
I outrank you.	Je passe avant toi.
Be creative.	Soyez créative !
Are you dressed?	Es-tu habillée ?
I'm very fat.	Je suis très gros.
Did you mean it?	En aviez-vous l’intention ?
How was class?	Comment était l'école ?
Make it larger.	Agrandissez-le.
Here it is.	Le voici.
Am I right?	Ai-je raison ?
I've checked.	J'ai vérifié.
We all cheered.	Nous acclamèrent toutes.
I'm old enough.	Je suis suffisamment grand.
Wait and see.	Attendons de voir.
He resigned.	Il démissionna.
It's clean.	C'est propre.
Be a man.	Soyez un homme !
Was I snoring?	Étais-je en train de ronfler ?
Be watchful.	Soyez prudent !
I am so sick.	Je suis tellement malade.
I'm gullible.	Je suis crédule.
I nailed it.	J'ai mis la main dessus.
They struggled.	Elles ont morflé.
Run!	Prenez vos jambes à vos cous !
He likes money.	Il apprécie l'argent.
Check this out.	Règle ça.
Call my son.	Appellez mon fils.
Be a good boy.	Soyez un chic type !
I woke you up.	Je vous ai réveillée.
It has a leak.	Il a une fuite.
She's a model.	C'est un mannequin.
Catch him.	Attrape-le !
They smiled.	Ils ont souri.
It's obsolete.	C'est dépassé.
Tom rushed in.	Tom s'est précipité.
Be sensible.	Soyez raisonnables !
Tom is sobbing.	Tom est en sanglots.
Tom slept late.	Tom a dormi tard.
Am I slipping?	Est-ce que je dérape ?
Take a nap.	Fais un petit somme !
What do I owe?	Combien est-ce que je dois ?
He bit his lip.	Il s'est mordu la lèvre.
Love is crazy.	L'amour, c'est de la folie.
I'm trapped.	Je suis piégé.
Can I try it?	Je peux essayer ?
Be objective.	Soyez objectif.
Show yourself.	Montrez-vous !
We love coffee.	Nous adorons le café.
I've tried.	J'ai tenté.
I hate spinach.	Je déteste les épinards.
What do I care?	Qu'est-ce que j'en ai à faire ?
Air the futon.	Aérez le futon !
Be serious.	Sois sérieux !
He runs fast.	Cours vite.
He has braces.	Il porte des bretelles.
Check everyone.	Vérifie tout le monde.
Now I know why.	Maintenant, je sais pourquoi.
I'm stunned.	Je suis sidéré.
Call Tom.	Appelez Tom.
Tom saw it.	Tom le voyait.
He hugged her.	Il l'enlaça.
Tom is slim.	Tom est mince.
I borrowed it.	Je l'ai emprunté.
Stay here.	Restez là !
The baby cried.	Le bébé pleura.
Here I come.	Me voici.
I did it.	C'est moi qui l'ai fait.
I'm not insane.	Je ne suis pas folle.
Bees make honey.	Les abeilles font du miel.
I do remember.	Je me rappelle, en effet.
I was new.	J'étais nouveau.
Get changed.	Changez-vous.
They have wine.	Elles disposent de vin.
Touch it.	Touche-la.
I drank a lot.	J'ai beaucoup bu.
Come with us.	Venez avec nous.
We've arrived.	Nous sommes arrivés.
Who's coming?	Qui vient ?
Stay out of it.	Ne vous en mêlez pas !
Bring food.	Apportez de la nourriture.
Translate it.	Traduis-le.
Run for it!	Prends tes jambes à ton cou !
They're babies.	Ce sont des bébés.
It's not funny.	Ce n'est pas drôle !
Tom's awake.	Tom est réveillé.
They love Tom.	Elles aiment Tom.
You're a doll!	Vous êtes un amour !
You look sick.	Vous avez l'air malade.
You're foolish.	Vous êtes imprudents.
Can we go?	Pouvons-nous partir ?
Lie low.	Au sol !
You did that.	Tu as fait ça.
He fooled her.	Il la dupa.
Are you dressed?	Êtes-vous habillée ?
I need you.	J'ai besoin de toi.
Take these.	Prends ça.
I didn't go.	Je ne m'y suis pas rendu.
Who's crying?	Qui pleure ?
You're nuts!	T'es givré !
He's all right.	Il va bien.
I love golf.	J'adore le golf.
That was Tom.	C'était Tom.
Don't hurt me.	Ne me fais pas de mal !
I drive fast.	Je conduis vite.
Was it cold?	Est-ce qu'il faisait froid ?
I need a taxi.	Il me faut un taxi.
Wait and see.	Attendons en buvant du thé.
Ask anybody.	Demandez à n'importe qui !
I'll come back.	Je reviens.
Come alone.	Venez seul !
I feel old.	Je me sens vieux.
Don't hang up!	Ne raccrochez pas !
Tom grumbled.	Tom grogna.
I had fun.	Je me suis marré.
I'm okay.	Je vais bien.
I saved you.	Je vous ai sauvé.
Tom might win.	Il se pourrait que Tom gagne.
Throw Tom out.	Jetez Tom dehors.
We need more.	Nous avons besoin de plus.
Tom likes Mary.	Tom apprécie Marie.
Who goes there?	Qui va là ?
I have news.	J'ai des nouvelles.
I ate too much.	J'ai trop mangé.
I canceled.	J’ai annulé.
We're tired.	Nous sommes fatiguées.
That's enough.	Cela suffit.
Come along.	Joignez-vous à nous.
You seem upset.	Tu sembles contrariée.
That's ugly.	C'est laid.
Drink some tea.	Buvez un peu de thé.
"Say ""aah."""	Dis « ahhh » !
I miss my cat.	Ma chatte me manque.
It'll work now.	Ça fonctionnera dorénavant.
I fell.	Je suis tombé.
I don't gossip.	Je ne commère pas.
You may swim.	Tu peux nager.
Are you lying?	Mens-tu ?
Here comes Tom.	Voici Tom.
Give me time.	Donnez-moi du temps.
This is it.	Ça y est.
The girls won.	Les filles l'emportèrent.
You must pay.	Tu dois payer.
We need a map.	Il nous faut une carte.
Bring a date.	Amène une copine !
Dance with me.	Dansez avec moi.
Do you know him?	Vous le connaissez ?
I believed you.	Je vous ai crus.
Let me die.	Laisse-moi mourir.
What a phony!	Quel charlatan !
Tom felt safe.	Tom s'est senti en sécurité.
